dmr,k502_2_in_w_4d,k502_4_in_w_4d,k608_6_in_w_4d,k520_in_w_23d,k528_in_w_23d,k529_in_w_23d,K589_in_w_3m,K592_in_w_3m,K600_in_w_3m,k427_in_w_1y,k430_in_w_1y,s288_in_w_1y,k608_1_in_m_4d,k502_3_in_m_4d,k502_5_in_m_4d,k518_in_m_23d,k519_in_m_23d,k526_in_m_23d,K588_in_m_3m,K590_in_m_3m,K591_in_m_3m,k428_in_m_1y,k429_in_m_1y,k431_in_m_1y,c.4d,c.23d,c.3m,c.1yr,m.4d,m.23d,m.3m,m.1yr
in_all_dmr_108,0.357108692561637,0.293702746339133,0.343009517628597,0.356398914240104,0.307548976205856,0.369131742381137,0.313964668821773,0.287157851826968,0.332055029021913,0.239185883168766,0.223484284711417,0.245642363605504,0.430610186405099,0.462667909015746,0.426155293698415,0.463467294374179,0.45593575236163,0.461457157448156,0.53445292949613,0.522703080832072,0.513519904231397,0.593875678100204,0.568682120306571,0.602528490125878,0.331273652176456,0.344359877609032,0.311059183223551,0.236104177161896,0.43981112970642,0.460286734727988,0.523558638186533,0.588362096177551
in_all_dmr_109,0.197232354534431,0.200179402696164,0.179612067174197,0.203774807392322,0.203351048657129,0.198534619381768,0.283096925424569,0.277051988585672,0.274093585350928,0.288263635872726,0.289254856494667,0.280943464258325,0.736145287742477,0.774639308637511,0.765805811309743,0.766264886291778,0.725523332978467,0.753741513702054,0.761059927212545,0.775982127699941,0.771412695074654,0.731403328620864,0.744640491797945,0.743459848922263,0.192341274801597,0.20188682514374,0.27808083312039,0.286153985541906,0.75886346922991,0.748509910990766,0.76948491666238,0.739834556447024
in_all_dmr_11,0.0772353406081711,0.0824691643957234,0.0676885022928833,0.104999232078015,0.135407338689393,0.0959345210825774,0.178421263633716,0.162643265058936,0.197814630982016,0.381526990638701,0.387578454786984,0.320932402933072,0.568687891342494,0.607219132164024,0.614526266567482,0.72424090146934,0.73207294990348,0.773301962935977,0.821725217665707,0.842998806433621,0.82734729482419,0.912505594766362,0.907847073007255,0.912859539831335,0.0757976690989259,0.112113697283328,0.179626386558223,0.363345949452919,0.596811096691333,0.743205271436266,0.830690439641173,0.911070735868317
in_all_dmr_110,0.0743957232101709,0.0737597837754952,0.0672754633389799,0.0664050904548305,0.0807020554876201,0.0786849234579872,0.0865640631380533,0.0776647183514193,0.0758190157479989,0.0812639651769411,0.0843536627536483,0.0724854140277414,0.333180206013528,0.364507159643363,0.363949485300313,0.420873350564181,0.389024583238144,0.416394201322909,0.518495460872912,0.532298549272584,0.523950213057135,0.647438945740464,0.647561057345117,0.656514188332683,0.0718103234415487,0.0752640231334793,0.0800159324124905,0.0793676806527769,0.353878950319068,0.408764045041745,0.524914741067544,0.650504730472755
in_all_dmr_111,0.165342045686517,0.154550726685475,0.148616875941716,0.143490019032867,0.148331469870981,0.154989564735963,0.163852453555334,0.184055660699499,0.188293906981244,0.214852645985951,0.201227906315512,0.206560129545667,0.566111126808238,0.600860036312747,0.616194871811536,0.63100156798253,0.62245477191132,0.640678160412227,0.657263353802059,0.659852880799726,0.66556693305275,0.64698594227326,0.646714986938984,0.649681535058791,0.156169882771236,0.148937017879937,0.178734007078692,0.207546893949043,0.59438867831084,0.631378166768692,0.660894389218178,0.647794154757012
in_all_dmr_112,0.171102994918257,0.140451030353654,0.140268156916684,0.151661532718109,0.158273123073655,0.193657560429554,0.166960723729849,0.181175996067641,0.144833618204156,0.19765688241378,0.17316155765597,0.209199913384798,0.356151252020101,0.360677419863657,0.380454661609487,0.374916516306838,0.389735233291116,0.419258839153593,0.462143308830075,0.463740451825015,0.455559006480366,0.485555921900203,0.531655229401671,0.498402597952969,0.150607394062865,0.167864072073773,0.164323446000549,0.193339451151516,0.365761111164415,0.394636862917182,0.460480922378485,0.505204583084948
in_all_dmr_113,0.125044583517739,0.147848933506842,0.123630766381233,0.128929442370504,0.135479281694455,0.149874819268963,0.207073975442325,0.210646425402615,0.171793491413567,0.271868661916355,0.249290400289619,0.268725110677174,0.41928358048199,0.444829105046379,0.431247664591553,0.419767993380587,0.387057715899085,0.441580133612239,0.527873101362278,0.542941316270497,0.52161995548227,0.600448010868287,0.586876860646878,0.622298242155379,0.132174761135271,0.138094514444641,0.196504630752836,0.263294724294383,0.431786783373307,0.41613528096397,0.530811457705015,0.603207704556848
in_all_dmr_114,0.0536821473375027,0.0506382739265537,0.0561040409708733,0.0631614700778887,0.0673806012109149,0.075508154648477,0.102677877151441,0.0928292974500106,0.107129705536531,0.144655888137693,0.149734184257583,0.124981939541594,0.449490880316709,0.497984799516602,0.495646978509069,0.498188027324225,0.464382242467033,0.506212957882238,0.571535504493104,0.622877459380612,0.598299354230959,0.719137715865288,0.704390985669326,0.730553918747907,0.0534748207449766,0.0686834086457602,0.100878960045994,0.139790670645623,0.481040886114127,0.489594409224499,0.597570772701558,0.718027540094174
in_all_dmr_115,0.0515773036669708,0.0458708686174168,0.0466899199684908,0.0765923756335834,0.0791056621450038,0.0770406260925717,0.13306918966941,0.128292904726657,0.133789049713719,0.210994746710745,0.196613291800774,0.189186804442352,0.31624278900277,0.341600489046159,0.343977587501715,0.44585034345419,0.44774570952999,0.480552786542084,0.575125797181403,0.586507462174956,0.579372910789553,0.654805232754495,0.661699240125389,0.637524865960174,0.0480460307509595,0.0775795546237196,0.131717048036595,0.198931614317957,0.333940288516881,0.458049613175421,0.580335390048637,0.651343112946686
in_all_dmr_116,0.0574968709390245,0.0548592274806668,0.052780952440592,0.0662546979106229,0.0698932017126098,0.0853079054966994,0.106488574147907,0.110773573156974,0.0966277754338023,0.130831467823046,0.133456278799853,0.121417955304713,0.428973149941916,0.463357229459446,0.460664249985904,0.571196347887967,0.559218707546517,0.580085456056819,0.689896971261452,0.705909601699283,0.683545988116636,0.698848825732795,0.707404994478617,0.717038872513955,0.0550456836200944,0.073818601706644,0.104629974246228,0.128568567309204,0.450998209795755,0.570166837163768,0.693117520359124,0.707764230908456
