Category,Tissue,total_count,dmr_count,total_percentage,dmr_percentage,fold_change
6.Quies,lung,11974031,43,87.86552632,2.853351029,0.032474067
7. Polycomb,lung,44920,878,0.329623286,58.26144658,176.7516104
8.Hetro,lung,225549,5,1.655080198,0.331785003,0.200464608
9.Pois.Enh,lung,304734,31,2.236140302,2.057067021,0.919918584
10.Weak_Enh,lung,75146,0,0.551421893,0,0
11.Strong_Eng,lung,75228,15,0.55202361,0.99535501,1.803102245
1.Tx,midbrain,1012371,5,7.42878574,0.331785003,0.044662077
2.Inactive_promoter,midbrain,85381,90,0.626526397,5.97213006,9.532128392
3.Bivalent_promoter,midbrain,19161,384,0.140603557,25.48108825,181.2264839
4.Active_promoter,midbrain,121731,423,0.893262961,28.06901128,31.42301037
6.Quies,midbrain,11586476,41,85.02164492,2.720637027,0.031999346
7. Polycomb,midbrain,43411,541,0.318550233,35.89913736,112.6953732
8.Hetro,midbrain,464862,0,3.411160727,0,0
9.Pois.Enh,midbrain,217122,11,1.593242811,0.729927007,0.458139213
10.Weak_Enh,midbrain,46799,0,0.343411401,0,0
11.Strong_Eng,midbrain,30364,12,0.222811252,0.796284008,3.573805183
1.Tx,neural_tube,1186416,4,8.705929213,0.265428003,0.030488188
2.Inactive_promoter,neural_tube,92987,38,0.68233928,2.521566025,3.695472469
3.Bivalent_promoter,neural_tube,34745,668,0.254959062,44.32647644,173.8572306
4.Active_promoter,neural_tube,128713,368,0.944496928,24.41937624,25.85437341
6.Quies,neural_tube,10620738,0,77.93505247,0,0
7. Polycomb,neural_tube,97657,402,0.716607774,26.67551427,37.22470677
8.Hetro,neural_tube,851211,0,6.246192491,0,0
9.Pois.Enh,neural_tube,441877,8,3.242496631,0.530856005,0.16371829
10.Weak_Enh,neural_tube,95529,0,0.700992495,0,0
11.Strong_Eng,neural_tube,77805,19,0.570933654,1.260783013,2.208282877
1.Tx,stomach,764785,0,5.611997877,0,0
2.Inactive_promoter,stomach,82711,48,0.606933918,3.185136032,5.247912397
3.Bivalent_promoter,stomach,26813,621,0.196753988,41.20769741,209.4376726
4.Active_promoter,stomach,119065,126,0.873699834,8.360982084,9.569627649
6.Quies,stomach,11599092,11,85.11422122,0.729927007,0.008575853
7. Polycomb,stomach,54440,675,0.399481115,44.79097545,112.1228859
8.Hetro,stomach,455426,0,3.341919291,0,0
9.Pois.Enh,stomach,295512,22,2.168469199,1.459854015,0.6732187
10.Weak_Enh,stomach,151984,0,1.115259694,0,0
11.Strong_Eng,stomach,77850,4,0.571263865,0.265428003,0.464632929
