"","x"
"1",0.273889039401965
"2",0.120013663239394
"3",0.217237971372862
"4",0.318356266491632
"5",0.101001062767574
"6",0.21662418971409
"7",0.259405647136106
"8",0.222154795133566
"9",0.221622205989284
"10",0.135487534193526
"11",0.171515979066304
"12",0.18736649758971
"13",0.183719605906581
"14",0.201082921999132
"15",0.0724079120580682
"16",0.126343079324765
"17",0.0769650309665671
"18",0.116618790690242
"19",0.188046693410359
"20",0.119774098920567
"21",0.0776896148799203
"22",0.228497488057342
"23",0.251131354346839
"24",0.174874813490924
"25",0.15443934721506
"26",0.0803779805254056
"27",0.159701341487355
"28",0.156778030764597
"29",0.11867410871652
"30",0.102705646961574
"31",0.127335231939949
"32",0.168087944760943
"33",0.372670281724142
"34",0.0482108246100865
"35",0.144217236376843
"36",0.202335008040702
"37",0.20522509635734
"38",0.350352654133006
"39",0.370654355041841
"40",0.32709984698107
"41",0.106326834572755
"42",0.184350608163584
"43",0.15347108972637
"44",0.46128727872052
"45",0.359798439768904
"46",0.204499280552644
"47",0.242526451978735
"48",0.127501058747867
"49",0.165352174656232
"50",0.104733734227053
"51",0.231822711541272
"52",0.103169466989405
"53",0.211626376094135
"54",0.307416648092127
"55",0.302500828481178
"56",0.187098492232193
"57",0.30457256887889
"58",0.195809048347888
"59",0.2458337043344
"60",0.147796465153163
"61",0.176709960788856
"62",0.209660735266777
"63",0.247163681738297
"64",0.185704957938366
"65",0.444325642549577
"66",0.304448419998509
"67",0.0919654105836856
"68",0.259769559846233
"69",0.267040840906444
"70",0.251876387511005
"71",0.321510421719296
"72",0.517414538040063
"73",0.154913229861737
"74",0.128424625147013
"75",0.270793944026462
"76",0.215289329734115
"77",0.17317521313381
"78",0.121474978254978
"79",0.116379080443391
"80",0.335531935150304
"81",0.194825829745363
"82",0.271821686658683
"83",0.478669770366505
"84",0.306034138635059
"85",0.143773324501962
"86",0.0664489080563937
"87",0.0882287361990171
"88",0.371771082109024
"89",0.29108379849216
"90",0.179492628374885
"91",0.154416391759324
"92",0.522151120031141
"93",0.0927790696307177
"94",0.240036788918287
"95",0.311057450717801
"96",0.197135553903997
"97",0.258598060749156
"98",0.221474912418483
"99",0.202855729068626
"100",0.229076609775279
"101",0.134015251350599
"102",0.108837578573929
"103",0.221987243665615
"104",0.0720678788976512
"105",0.248700621270878
"106",0.134488096508636
"107",0.183105297398242
"108",0.293937626109064
"109",0.230109949217442
"110",0.192398822105803
"111",0.115970057536296
"112",0.0915055225583621
"113",0.355684240215218
"114",0.267982833427743
"115",0.571578727732414
"116",0.600121943831617
"117",0.5667412039099
"118",0.442887307526675
"119",0.243747172841397
"120",0.0391835036065338
"121",0.258622336365719
"122",0.461570752856114
"123",0.195708314909071
"124",0.0924741694661293
"125",0.0440204407753294
"126",0.23635661970708
"127",0.0445558672850015
"128",0.132986879715922
"129",0.121584015564462
"130",0.200396991204942
"131",0.318623257001658
"132",0.215690680561236
"133",0.150341504551762
"134",0.138966092599796
"135",0.0926965767075067
"136",0.140774457776437
"137",0.221174504121571
"138",0.14818752202921
"139",0.227718937760806
"140",0.184751233420381
"141",0.245212237637737
"142",0.0755033053280517
"143",0.183062843939055
"144",0.0282566314164735
"145",0.291089940900285
"146",0.121721022822415
"147",0.197852003617279
"148",0.460618357540621
"149",0.231937249490127
"150",0.360017472434599
"151",0.103282989094803
"152",0.0696061984387807
"153",0.19603180259686
"154",0.175222973098631
"155",0.114518148119675
"156",0.0396583373086384
"157",0.153105794375062
"158",0.194025958812015
"159",0.158293214678223
"160",0.107019479731701
"161",0.171850341301084
"162",0.202543186510213
"163",0.162798649017409
"164",0.180315977610885
"165",0.173270820940607
"166",0.340533784559975
"167",0.214924877483837
"168",0.246997057690514
"169",0.0825063735311344
"170",0.305148844664904
"171",0.126602708435618
"172",0.202453996041456
"173",0.0877133867283497
"174",0.151954780067854
"175",0.201572451624237
"176",0.239455689481546
"177",0.275367987449172
"178",0.234005704737128
"179",0.251949201726335
"180",0.161117694386
"181",0.29926739151733
"182",0.174079225439641
"183",0.166451221167647
"184",0.130126562622078
"185",0.140759071178259
"186",0.217623143214657
"187",0.246884255942594
"188",0.285738601436599
"189",0.203048407018525
"190",0.359729890707021
"191",0.232203617268619
"192",0.141510314508955
"193",0.145680825266052
"194",0.269306080464788
"195",0.298792687398463
"196",0.120393713559301
"197",0.206806648845059
"198",0.062563019404129
"199",0.183569890763573
"200",0.208896374342291
"201",0.249802068759336
"202",0.281510643447458
"203",0.225867373042106
"204",0.124017109025922
"205",0.213711862020429
"206",0.295477047843213
"207",0.0697959883990993
"208",0.232845084051928
"209",0.220473074659558
"210",0.232211229632615
"211",0.226715459595966
"212",0.258121831761943
"213",0.201501976130991
"214",0.10100855671307
"215",0.226314182188736
"216",0.338355805881812
"217",0.158439622714308
"218",0.0772992743209458
"219",0.173284947595976
"220",0.153227216754952
"221",0.158293191756747
"222",0.154759024309229
"223",0.0992359926227696
"224",0.217299095662986
"225",0.202604247505386
"226",0.168124475378217
"227",0.33017905486253
"228",0.270326534449747
"229",0.156434894251968
"230",0.19446240981282
"231",0.197545914215806
"232",0.223888774268479
"233",0.159069217908365
"234",0.24763277149089
"235",0.189230523645036
"236",0.321045873946889
"237",0.178985765955524
"238",0.316231463759528
"239",0.123108668274753
"240",0.117337823222331
"241",0.219059215985584
"242",0.253536327425007
"243",0.139398839078364
"244",0.198946776017069
"245",0.178688101808461
"246",0.0907777287493689
"247",0.178909109819389
"248",0.0944472411543756
"249",0.450713337313217
"250",0.185228534885082
"251",0.114273764770278
"252",0.18432445010608
"253",0.327562991382265
"254",0.29566040873779
"255",0.137486405428429
"256",0.0416313097186808
"257",0.16522934016751
"258",0.26199714818326
"259",0.276391263905606
"260",0.20759219542315
"261",0.31790461209803
"262",0.14986326539844
"263",0.163073668119107
"264",0.292437970251759
"265",0.222168621531399
"266",0.0738102496716045
"267",0.129581985334088
"268",0.253246024944051
"269",0.146068186529894
"270",0.241488128792359
"271",0.198018705189889
"272",0.350330227102459
"273",0.166463799532972
"274",0.492774459214577
"275",0.459225463435225
"276",0.377905703011639
"277",0.143552890812332
"278",0.476163949132187
"279",0.27500803918746
"280",0.191010067704323
"281",0.22245077294566
"282",0.28033833416063
"283",0.0633867912270379
"284",0.115535870238237
"285",0.147736737407768
"286",0.24820396241265
"287",0.331490238747537
"288",0.276670805950377
"289",0.19351175010969
"290",0.127393485056259
"291",0.313809821773825
"292",0.16585785479641
"293",0.370384967205871
"294",0.213055219907054
"295",0.171614838255208
"296",0.0629660222065754
"297",0.239430433536626
"298",0.308915008352539
"299",0.152447271231115
"300",0.221817101684975
"301",0.285766519194157
"302",0.18366308205993
"303",0.247722869841426
"304",0.156321125226697
"305",0.126164536676302
"306",0.0808511380210443
"307",0.126744823596556
"308",0.120639064001473
"309",0.351338594031624
"310",0.0558803939275753
"311",0.242991318172469
"312",0.120366116730467
"313",0.104488001565473
"314",0.19173117880472
"315",0.162806604099587
"316",0.311545394191478
"317",0.136900849254385
"318",0.132727221031575
"319",0.180732239016259
"320",0.109672373139868
"321",0.314216182284296
"322",0.251942177392117
"323",0.058862856058289
"324",0.20564344375276
"325",0.21747912562861
"326",0.28448502479191
"327",0.383557675892575
"328",0.20679957314095
"329",0.265641395376908
"330",0.144480671027978
"331",0.418025460827498
"332",0.32170482932593
"333",0.405618919126333
"334",0.207791314753708
"335",0.3105738758056
"336",0.0875942708508124
"337",0.212691313514493
"338",0.176044002245332
"339",0.275416989435769
"340",0.106949750742098
"341",0.0531614285940187
"342",0.174579853407257
"343",0.211673919177571
"344",0.107280259739772
"345",0.365033837407796
"346",0.162532284993387
"347",0.14725112898004
"348",0.156156335776548
"349",0.126481609947273
"350",0.0965035366042715
"351",0.210902578391515
"352",0.0488988682830639
"353",0.195712182411503
"354",0.0988638067508
"355",0.0533934598555068
"356",0.117029752326373
"357",0.160557272125263
"358",0.138817637699897
"359",0.301375716714483
"360",0.177474326407512
"361",0.412763993126005
"362",0.279737460481851
"363",0.200926400583712
"364",0.309019484999244
"365",0.326711106606673
"366",0.153686099031433
"367",0.106720613047935
"368",0.117829993248082
"369",0.178402241559274
"370",0.195054578079664
"371",0.26065468585976
"372",0.253697235369583
"373",0.180997145367787
"374",0.151094355299787
"375",0.100177989507752
"376",0.193756469608678
"377",0.138047199495554
"378",0.144392774498683
"379",0.237325884511232
"380",0.222862999698108
"381",0.310919961518444
"382",0.290735534568496
"383",0.278259274296199
"384",0.315545168251927
"385",0.279807229047552
"386",0.0643646887829937
"387",0.0770383252888094
"388",0.115527924890415
"389",0.194828109905752
"390",0.198662859699012
"391",0.269821406755143
"392",0.209583601696193
"393",0.336158391742449
"394",0.0254340083492477
"395",0.139598125308776
"396",0.105721015904038
"397",0.120307675152804
"398",0.322351842248956
"399",0.297648103452617
"400",0.232339505116638
"401",0.106213898167104
"402",0.390879405043961
"403",0.124520517230974
"404",0.134900567440989
"405",0.196655812440799
"406",0.221032943189653
"407",0.202917098022601
"408",0.167484992658489
"409",0.245016292681329
"410",0.245838148369547
"411",0.296871258347358
"412",0.204095696005013
"413",0.0974471855115363
"414",0.295397323218749
"415",0.178540925578431
"416",0.169188097546074
"417",0.107453519375545
"418",0.213435223086187
"419",0.0924039370002938
"420",0.227509161697385
"421",0.0797317340945226
"422",0.131827586808663
"423",0.122517738621317
"424",0.172453594692197
"425",0.150769528449921
"426",0.139045362743037
"427",0.386705296299277
"428",0.0866770030787651
"429",0.101353936774457
"430",0.225418585212382
"431",0.230464218709622
"432",0.16417454868773
"433",0.424001601470031
"434",0.277388733145173
"435",0.224265852752112
"436",0.422509245801149
"437",0.169673548847691
"438",0.118527106420466
"439",0.223955934731842
"440",0.155562427742703
"441",0.146009445016818
"442",0.138857986863084
"443",0.385603369041854
"444",0.162953903400583
"445",0.0791932981996336
"446",0.140759051290951
"447",0.268653310190355
"448",0.173780148979944
"449",0.268559394677415
"450",0.097470028662572
"451",0.0881428534533561
"452",0.493946144950357
"453",0.195205315347808
"454",0.187114041252087
"455",0.0759274137629798
"456",0.246690940393245
"457",0.399499600033559
"458",0.438093472186065
"459",0.250458039937469
"460",0.280719992411738
"461",0.128625953824289
"462",0.109923809882562
"463",0.229539703141643
"464",0.320117584953364
"465",0.168258969309529
"466",0.315723341768117
"467",0.375841352388736
"468",0.144437466056154
"469",0.107462925490905
"470",0.103809529910542
"471",0.180990887225361
"472",0.162060117983022
"473",0.159535872045725
"474",0.394481686082543
"475",0.212145402136088
"476",0.201305853835265
"477",0.148224325641314
"478",0.137450145573277
"479",0.0497824784232689
"480",0.252201670214024
"481",0.119921483907366
"482",0.241218995789715
"483",0.24394307616012
