Feature,Count,cumCount,perc
Promoter (2-3kb),12028,12028,4.196218937
Promoter (1-2kb),15372,27400,5.362843158
Promoter (<=1kb),99448,126848,34.69451121
5' UTR,833,127681,0.290609443
Exon,22395,150076,7.812963344
Intron,69092,219168,24.1041868
3' UTR,5544,224712,1.934140155
Downstream (<=300bp),165,224877,0.057563695
Distal Intergenic,61726,286603,21.5344039
