"","x"
"1",0.200695875958813
"2",0.130608056278607
"3",0.234901600363719
"4",0.154941650358211
"5",0.260143268078979
"6",0.586215248679259
"7",0.175676313043568
"8",0.178149443276779
"9",0.176954140193638
"10",0.28029634517472
"11",0.210205348672744
"12",0.176351065807723
"13",0.302348867185596
"14",0.082404542878338
"15",0.0727978836608246
"16",0.224315274169767
"17",0.220011859489942
"18",0.0417217503050634
"19",0.139050149622614
"20",0.387088978989876
"21",0.144147584234628
"22",0.111858281981027
"23",0.207180978863164
"24",0.607603153849265
"25",0.273775649796254
"26",0.460745222128121
"27",0.159479616797324
"28",0.123439932239303
"29",0.149365775073519
"30",0.135117273927069
"31",0.142376114188009
"32",0.144734497226225
"33",0.107269913926943
"34",0.149165390571448
"35",0.387622860962323
"36",0.133529312472676
"37",0.232551369155939
"38",0.339624915787651
"39",0.175862953860871
"40",0.15122640853968
"41",0.237616332294257
"42",0.0833322232263491
"43",0.251213576356137
"44",0.46491692437517
"45",0.15488993358716
"46",0.0833905702334582
"47",0.0710826286609518
"48",0.263479417793628
"49",0.186080535163303
"50",0.193610376037211
"51",0.170353997624654
"52",0.177708338085421
"53",0.333930160899659
"54",0.251240904827355
"55",0.244059222950425
"56",0.128145520475481
"57",0.263540919438334
"58",0.106814880119373
"59",0.172310952476352
"60",0.244138545422335
"61",0.125469480870856
"62",0.13689133150023
"63",0.0852360205233663
"64",0.100739057174659
"65",0.103497182238102
"66",0.0985964524607854
"67",0.211411254510695
"68",0.0526474819986204
"69",0.129192349642921
"70",0.166930683187933
"71",0.247548891441887
"72",0.259990043496307
"73",0.129290820320415
"74",0.122578518555634
"75",0.0522493703836485
"76",0.211510678798534
"77",0.051750529491258
"78",0.324263726711773
"79",0.221775251955948
"80",0.631522643156707
"81",0.0786012596592535
"82",0.122463621874971
"83",0.130800114936356
"84",0.156361965140944
"85",0.105114788194827
"86",0.146446552104677
"87",0.345463602051709
"88",0.363332530958799
"89",0.525680991610445
"90",0.0920752490968106
"91",0.533606236996027
"92",0.266782819791535
"93",0.233211357740808
"94",0.0888592618266241
"95",0.216152483818348
"96",0.0997103934296112
"97",0.185602592499801
"98",0.322648716280201
"99",0.186900683492238
"100",0.148613049335155
"101",0.284355431430366
"102",0.1350300998377
"103",0.189971684342901
"104",0.0945122238918792
"105",0.102585675065315
"106",0.0914441505261831
"107",0.0837270886472698
"108",0.0578186142480137
"109",0.173594972489894
"110",0.243448232338771
"111",0.234148698812057
"112",0.20501672898344
"113",0.281196704802963
"114",0.0760186937390459
"115",0.161704555310041
"116",0.138636069577531
"117",0.216476758783317
"118",0.308523056620824
