Category,Tissue,total_count,dmr_count,total_percentage,dmr_percentage,fold_change
1.Tx,neural_tube,1186416,9,8.705929213,1.072705602,0.123215521
2.Inactive_promoter,neural_tube,92987,17,0.68233928,2.026221692,2.969522275
3.Bivalent_promoter,neural_tube,34745,299,0.254959062,35.63766389,139.7779848
4.Active_promoter,neural_tube,128713,212,0.944496928,25.2681764,26.75305304
6.Quies,neural_tube,10620738,17,77.93505247,2.026221692,0.025998849
7. Polycomb,neural_tube,97657,253,0.716607774,30.15494636,42.0801273
8.Hetro,neural_tube,851211,26,6.246192491,3.098927294,0.496130611
9.Pois.Enh,neural_tube,441877,2,3.242496631,0.238379023,0.073517123
10.Weak_Enh,neural_tube,95529,0,0.700992495,0,0
11.Strong_Eng,neural_tube,77805,4,0.570933654,0.476758045,0.83504982
1.Tx,stomach,764785,6,5.611997877,0.715137068,0.127430032
2.Inactive_promoter,stomach,82711,22,0.606933918,2.622169249,4.320353785
3.Bivalent_promoter,stomach,26813,296,0.196753988,35.28009535,179.3106998
4.Active_promoter,stomach,119065,63,0.873699834,7.508939213,8.594415296
6.Quies,stomach,11599092,23,85.11422122,2.74135876,0.032207999
7. Polycomb,stomach,54440,404,0.399481115,48.15256257,120.5377696
8.Hetro,stomach,455426,20,3.341919291,2.383790226,0.713299759
9.Pois.Enh,stomach,295512,5,2.168469199,0.595947557,0.274824082
10.Weak_Enh,stomach,151984,0,1.115259694,0,0
11.Strong_Eng,stomach,77850,0,0.571263865,0,0
