Feature,Count,cumCount,perc
Promoter (2-3kb),142,142,6.356311549
Promoter (1-2kb),194,336,8.683974933
Promoter (<=1kb),1297,1633,58.05729633
5' UTR,4,1637,0.17905103
Exon,102,1739,4.565801253
Intron,170,1909,7.609668756
3' UTR,49,1958,2.193375112
Distal Intergenic,276,2234,12.35452104
