dmr,k502_2_li_w_4d,k502_4_li_w_4d,WT4DF_li_w_4d,k520_li_w_23d,k528_li_w_23d,k529_li_w_23d,k534_li_w_3m,k535_li_w_3m,k536_li_w_3m,k427_li_w_1y,k430_li_w_1y,s288_ki_w_1y,k502_1_li_m_4d,k502_3_li_m_4d,k502_5_li_m_4d,k518_li_m_23d,k519_li_m_23d,k526_li_m_23d,k541_li_m_3m,k542_li_m_3m,k543_li_m_3m,k428_li_m_1y,k429_li_m_1y,k431_li_m_1y,c.4d,c.23d,c.3m,c.1yr,m.4d,m.23d,m.3m,m.1yr
li_all_dmr_121,0.43325293092988,0.440033595860048,0.4105941122014,0.444947209234639,0.45135914205666,0.456886173693617,0.493267493281945,0.496039455853299,0.495698358927291,0.465978894925949,0.4654692470077,0.475416051565024,0.647435436831258,0.650323694607498,0.631733933267606,0.643100280315514,0.668320205353885,0.65798887792326,0.724414215673829,0.740636114875068,0.733057986617028,0.691832409404927,0.70135786214477,0.720741678323802,0.427960212997109,0.451064174994972,0.495001769354178,0.468954731166224,0.643164354902121,0.65646978786422,0.732702772388642,0.704643983291166
li_all_dmr_122,0.132169235943551,0.113175810187801,0.112922753482267,0.140527030452094,0.166771407544591,0.111908097514027,0.185905804425274,0.222558329811552,0.204529415435809,0.173128740998839,0.172153253061465,0.17800552271062,0.44115786741925,0.474099775005551,0.425297187783225,0.511986953351712,0.541018253060337,0.514118931804124,0.549116137068064,0.581785734952981,0.577077890530734,0.548909331528479,0.562695011222123,0.585822270677867,0.119422599871206,0.139735511836904,0.204331183224212,0.174429172256975,0.446851610069342,0.522374712738724,0.56932658751726,0.565808871142823
li_all_dmr_123,0.0677198409542865,0.0816312688519417,0.0631079274900453,0.11542179209724,0.162535631459291,0.0943901529863029,0.153177463327678,0.132413352539483,0.153524822267481,0.144444774527121,0.157776259327335,0.155135901043436,0.389638506334073,0.42321152962457,0.365354465158799,0.510287891200834,0.540706047669524,0.566768423341149,0.586061771447736,0.619892660977269,0.589828856068987,0.621693476848345,0.591733984867127,0.640605822246616,0.0708196790987578,0.124115858847611,0.146371879378214,0.152452311632631,0.392734833705814,0.539254120737169,0.598594429497997,0.618011094654029
li_all_dmr_124,0.117833885452482,0.120910737348248,0.107752150198113,0.137692377979643,0.132253745470532,0.146207943680918,0.173321907259236,0.16631772418262,0.164420654812081,0.169934434764224,0.183211120833428,0.172532618900702,0.457494741786862,0.455850904629569,0.420224138610364,0.511053626241716,0.544607124760777,0.539584043818449,0.581004174572654,0.600143649965479,0.588743892369706,0.588507421012533,0.589907498857966,0.59684139341827,0.115498924332948,0.138718022377031,0.168020095417979,0.175226058166118,0.444523261675598,0.531748264940314,0.589963905635946,0.59175210442959
li_all_dmr_125,0.081345736830649,0.0751341382416297,0.0764298375498728,0.122468335980771,0.125020982597107,0.123977114804903,0.174544365527087,0.163601634283761,0.159040661294861,0.174678348788544,0.186324930705638,0.158841200520004,0.340681946425513,0.355612121052178,0.313647217564117,0.455010177291689,0.51341784421422,0.501131829234388,0.529266064813516,0.564274786868526,0.540729932312298,0.555532633946307,0.550342262735134,0.557592362465511,0.0776365708740505,0.123822144460927,0.165728887035236,0.173281493338062,0.336647095013936,0.489853283580099,0.544756927998113,0.554489086382317
li_all_dmr_126,0.0905246330136104,0.0981610957033816,0.0762889453210032,0.149838813792158,0.125515950073594,0.137113913286378,0.165940871960437,0.173961620058086,0.19071604476696,0.164926386164077,0.180128862496957,0.155396233619472,0.510217233784143,0.523522960763722,0.526187589836568,0.60426857537425,0.662287327257532,0.625729001240858,0.697579390663378,0.701388616818077,0.701940054622373,0.687372117903744,0.690439830976431,0.715578936135687,0.0883248913459984,0.13748955905071,0.176872845595161,0.166817160760169,0.519975928128144,0.630761634624213,0.700302687367943,0.697796961671954
li_all_dmr_127,0.13652988206872,0.120962190145895,0.122685233148926,0.155458219832854,0.134658564419112,0.150993691337308,0.170606404016531,0.170151204236137,0.139950762167374,0.126040766647683,0.179559275194512,0.12921777349965,0.429055847025634,0.442677245472806,0.377432454145392,0.431831324250488,0.458171560999038,0.488830710422243,0.568214931609119,0.5322627783033,0.546316359824564,0.508915272324832,0.499039199368755,0.530518096907316,0.126725768454514,0.147036825196425,0.160236123473347,0.144939271780615,0.416388515547944,0.459611198557256,0.548931356578994,0.512824189533634
li_all_dmr_128,0.0732872757960827,0.0710567129023405,0.0547831742657167,0.0883069969742142,0.104034590635355,0.0845236871967433,0.13702675905885,0.129966386537519,0.128619571070964,0.147546790851186,0.156901929965434,0.111185091868911,0.359179112182243,0.358182025691816,0.317121108972003,0.410378480994563,0.424687153486898,0.443807548903675,0.475860310447272,0.503697876097577,0.499453094019343,0.543260266532099,0.527195193143548,0.53277970097596,0.0663757209880466,0.0922884249354375,0.131870905555778,0.13854460422851,0.344827415615354,0.426291061128379,0.493003760188064,0.534411720217202
li_all_dmr_129,0.117824940361827,0.115958870442826,0.0910682029554011,0.140855499476843,0.1572332492417,0.137277497661416,0.171109846203998,0.185868858406408,0.178264523683605,0.175589601062867,0.176822512858252,0.142111084502235,0.555261702811058,0.567444890886545,0.542728955566299,0.580574844261947,0.619795968871152,0.62285397558448,0.647855930702107,0.672421307724371,0.676544802854055,0.67826800045409,0.673354506036077,0.672136558161523,0.108284004586685,0.145122082126653,0.178414409431337,0.164841066141118,0.555145183087967,0.607741596239193,0.665607347093511,0.674586354883897
li_all_dmr_13,0.334187232492361,0.361944977529444,0.322395743789824,0.36024913692269,0.380956417875181,0.36612524183198,0.421176080939421,0.438849821916472,0.416759254323365,0.42062729164308,0.439628512777172,0.388574619506885,0.591608602188528,0.589346287484225,0.601282026395838,0.653421246836924,0.703828258062156,0.673819867396701,0.728635364826588,0.735854767252474,0.7431472971414,0.725047642391746,0.717404069086638,0.733494284675414,0.33950931793721,0.369110265543284,0.425595052393086,0.416276807975712,0.594078972022864,0.677023124098594,0.735879143073487,0.725315332051266
