"","x"
"1",0.221910781595911
"2",0.152095018897539
"3",0.0398385548531895
"4",0.241030866586839
"5",0.0922380056942913
"6",0.209621978108213
"7",0.145647072368586
"8",0.107636039408839
"9",0.252117861009035
"10",0.354896032678506
"11",0.305699222542734
"12",0.239615729651908
"13",0.182720925598349
"14",0.0766144899100738
"15",0.172846950419727
"16",0.169033590822176
"17",0.182517157656783
"18",0.0907069650205887
"19",0.114068561932308
"20",0.0905157067205426
"21",0.158426339825999
"22",0.117075110466262
"23",0.266498821454612
"24",0.289559875174541
"25",0.121008902821127
"26",0.142070057467835
"27",0.236253449960616
"28",0.262378610286422
"29",0.155119754642331
"30",0.11129992466976
"31",0.0281351577593242
"32",0.222788404208343
"33",0.0986374816757053
"34",0.381805974838971
"35",0.218846379647091
"36",0.367872896835139
"37",0.0882792883809367
"38",0.073913388271872
"39",0.611815434243705
"40",0.36593389597581
"41",0.335219600794302
"42",0.0497566655541647
"43",0.170738792612929
"44",0.275068180113915
"45",0.188370788866407
"46",0.140348576565832
"47",0.102626280615703
"48",0.0450828546535127
"49",0.135908612462758
"50",0.126740684498402
"51",0.110891228283579
"52",0.0982756674063898
"53",0.136901399616005
"54",0.190713039009859
"55",0.149122916572678
"56",0.128256038631933
"57",0.172672855047368
"58",0.0711978399629459
"59",0.168574412197364
"60",0.313726638214826
"61",0.296555588227094
"62",0.448030712845747
"63",0.0871668978441843
"64",0.21520084351692
"65",0.167400618847088
"66",0.115181195853201
"67",0.201850849569807
"68",0.0578817728767339
"69",0.262230305505348
"70",0.137283716789981
"71",0.183599775262977
"72",0.154285327277248
"73",0.124627886531903
"74",0.0334868512426414
"75",0.144419914708151
"76",0.194167824786107
"77",0.210798887922547
"78",0.0470488425516392
"79",0.162834916745021
"80",0.152206190597451
"81",0.143307317548852
"82",0.103699988449495
"83",0.0658362243956846
"84",0.202384287782783
"85",0.418513507864419
"86",0.274085581553156
"87",0.116046963875969
"88",0.0748279292530942
"89",0.184188226513423
"90",0.102059588502391
"91",0.196808856676203
"92",0.0739953570543007
"93",0.0603574418781751
"94",0.109530812798427
"95",0.129734329881876
"96",0.0480452917456473
"97",0.217588028970565
"98",0.15640442145747
"99",0.126330875900891
"100",0.125793028323952
"101",0.139199971030251
"102",0.0542277145693262
"103",0.0685936361666792
"104",0.274385540546811
"105",0.452516355670096
"106",0.0964783648282728
"107",0.0993219213439385
"108",0.124135450331907
"109",0.0384582205607867
"110",0.227381684625096
"111",0.21814410957312
"112",0.1321481525347
"113",0.154824463051494
"114",0.147020104211498
"115",0.262392227768515
"116",0.0695519376679954
"117",0.411909360707027
"118",0.329506616427958
"119",0.24508306701774
"120",0.483950935967996
"121",0.246819067526225
"122",0.041306652288571
"123",0.130787803912257
"124",0.210688324941514
"125",0.175604404980638
"126",0.136060764922672
"127",0.0779186985738469
"128",0.193203871837148
"129",0.113379215279592
"130",0.127070772819495
"131",0.204555492402549
"132",0.348597747431618
"133",0.19124042723438
"134",0.201601248466773
"135",0.471405801544921
"136",0.249309030909038
"137",0.163688017330828
"138",0.146675355351549
"139",0.0938153519622084
"140",0.226352201674006
"141",0.143396676433723
"142",0.496555117632941
"143",0.1415307571093
"144",0.421102926131402
"145",0.176343462609734
"146",0.380891458820236
"147",0.319333904508225
"148",0.220895146368051
"149",0.0806190876470241
"150",0.144068032250026
"151",0.100978934878187
"152",0.104105388254316
"153",0.150134484441582
"154",0.0878743675134331
"155",0.312191304175617
"156",0.23673154442703
"157",0.293309977629135
"158",0.151989032314534
"159",0.184598437856578
"160",0.12064392868012
"161",0.0645396709304498
"162",0.387481178651115
"163",0.352112433414175
"164",0.23491595755392
"165",0.194447348382814
"166",0.113151698074128
"167",0.448872840756143
"168",0.103489562038793
"169",0.247949322357263
"170",0.0290214761814988
"171",0.16951246229755
"172",0.121954408947506
"173",0.0987420694486874
"174",0.280057859979417
"175",0.0997013238382989
"176",0.121737758934745
"177",0.158613320406147
"178",0.094516155427405
"179",0.169008174752747
"180",0.173323484272831
"181",0.168246599789741
"182",0.0726493781273879
"183",0.301897417873898
"184",0.468797007966296
"185",0.305023950646839
"186",0.148270100318296
"187",0.224125431889729
"188",0.332413620985024
"189",0.250326819844249
"190",0.126395101042553
"191",0.331486665190063
"192",0.207657503867372
"193",0.16890734255665
"194",0.165826894598402
"195",0.114814273001293
"196",0.15086540601819
"197",0.495874074949336
