"","C3","C4","C7.1","C7.2","C9.1","C9.2","C10","C11.1","C11.2","P2","P11","P7","P4","P8","P10","P9","Control","Mutant"
"DMR_up_ 1007",0.270578691738623,0.385506891681787,0.500774545368966,0.289123683473404,0.33845512963553,0.209791363544643,0.54361603360128,0.320509310168166,0.413402991643806,0.706187270819767,0.730164029934529,0.653431965809583,0.66441078269005,0.606228121587863,0.615300316957718,0.614627386608119,0.363528737872912,0.655764267772519
"DMR_up_ 1008",0.1184762732162,0.0903401128970086,0.107385827603947,0.0993857887981269,0.109696964317956,0.118839599140413,0.165326512961522,0.133738255605041,0.139599333939851,0.468705417668278,0.571129056652321,0.331199938984706,0.362600048389243,0.335699232512529,0.43647981904616,0.364537810844868,0.12030985205334,0.410050189156872
"DMR_up_ 1009",0.0866888384455661,0.0859128486301848,0.0789177099320018,0.0863289203968359,0.101293508194074,0.112218536513917,0.114318030828137,0.109642861670209,0.100114868020913,0.581206858365863,0.720917830323221,0.461636384215371,0.506494892009679,0.371173455470367,0.470124443830184,0.462234435475741,0.0972706802924266,0.510541185670061
"DMR_up_ 101",0.15370754975357,0.170129895128587,0.183785639533547,0.161671976720836,0.172554523100748,0.171715332485781,0.202016274796795,0.183565107050787,0.185748690158021,0.569609335545782,0.669267976446501,0.472243603139011,0.50405847932581,0.406964716850755,0.508659488052309,0.492974154312303,0.176099443192075,0.517682536238925
"DMR_up_ 1010",0.263040400068692,0.263956443968882,0.285823382238077,0.252015953398011,0.292251643194209,0.217489395070875,0.258226540528462,0.286567707841888,0.241000694185405,0.684873572569019,0.699643034931008,0.508180011727173,0.558218275525473,0.471504408530261,0.521998236595666,0.490138179192918,0.262263573388278,0.562079388438788
"DMR_up_ 1011",0.0896138059996104,0.114113547128369,0.107646652638869,0.102726998867991,0.121644041359017,0.0701184903343544,0.0935186083211452,0.0942795562458288,0.10862738588808,0.451919360560199,0.551543840801682,0.264612983355021,0.370967533449833,0.2397103766637,0.343612616197526,0.297260200217265,0.100254342975918,0.359946701606461
"DMR_up_ 1012",0.142261893806927,0.143870685620243,0.132421418028144,0.148599530187421,0.114673095518629,0.123928853334533,0.131791930201327,0.162218641020335,0.14299394081012,0.501410724549814,0.592989684902623,0.349791864755772,0.404302768139972,0.350470998232843,0.38142546429411,0.378778399436224,0.138084443169742,0.422738557758765
"DMR_up_ 1013",0.117009029072066,0.133016220023304,0.0967529872842273,0.100999257646687,0.10752579446068,0.0964589527225837,0.134509745806643,0.127556173956942,0.108222342540635,0.469545890264104,0.589173491326062,0.345463928833305,0.409500215646793,0.284671363112569,0.386442886193562,0.362741766015093,0.113561167057085,0.406791363055927
"DMR_up_ 1014",0.0845426919629053,0.0897786997646837,0.133538327167068,0.0917226702538804,0.115781582083109,0.117245226272026,0.188522226996291,0.0887994303355715,0.125347856984632,0.558763116115831,0.633484081164248,0.308990742993843,0.411269948830898,0.244097331433039,0.402505382880702,0.278323921686865,0.115030967980019,0.405347789300775
"DMR_up_ 1015",0.306216111171793,0.293796523497247,0.338503974383126,0.298061021104232,0.263633272554609,0.274272094712456,0.340076982235875,0.280445965438574,0.36797231455012,0.664977878234179,0.81098809082462,0.527341792266026,0.604458423988732,0.488665503684592,0.554691365975198,0.555211537815582,0.306997584405337,0.60090494182699
"DMR_up_ 1016",0.213853819097448,0.201297436322675,0.223290524260894,0.214894811856861,0.211163386446383,0.203195355190784,0.244298276627273,0.232084324461836,0.224106354648797,0.562914653614389,0.649709084156691,0.4384452532037,0.484331988716559,0.411179442486274,0.47021278572696,0.446519978604563,0.21868714321255,0.494759026644162
