Anno,Freq,cumCount,perc
Promoter (2-3kb),28542,462834,3.483943733
Promoter (1-2kb),55994,434292,6.834837973
Promoter (<=1kb),250980,713814,30.63556157
5' UTR,2195,21008,0.267929945
exon 1,9207,723021,1.123841005
Exon,24254,247118,2.960534346
intron 1,96211,819232,11.74387606
Intron,131180,378298,16.01232356
3' UTR,18813,18813,2.296385448
Downstream (<=300bp),718,222864,0.087641777
Distal Intergenic,201138,222146,24.55165982
