dmr,C3,C4,C7.1,C7.2,C9.1,C9.2,C10,C11.1,C11.2,P2,P4,P7,P8,P9,P10,P11,,,,,,,,,,,,,,,,,,
DMR_up_102,0.009818406,-0.015074769,0.016834965,-0.016361509,0.008080429,-0.017692615,0.007877737,0.00750316,0.008832599,0.365253437,0.217220583,0.202405288,0.148656003,0.228664813,0.285397662,0.391199759,,,,,,,,,,,,,,,,,,
DMR_up_1020,0.022200027,-0.016436348,0.01085712,-0.000402476,-0.009450314,-0.00793113,0.009251325,-0.001475785,0.01558761,0.389878251,0.321993323,0.26981535,0.192892882,0.252218485,0.313523922,0.484989245,,,,,,,,,,,,,,,,,,
DMR_up_1021,-0.019581404,-0.017160494,0.00589912,0.005228541,0.01087347,-0.013912865,0.004331432,-0.001874085,0.006614882,0.333000603,0.303156404,0.259555576,0.180608308,0.311350746,0.291908594,0.480198944,,,,,,,,,,,,,,,,,,
DMR_up_1022,0.015469282,-0.019741092,-0.006912818,-0.018656338,-0.014325408,0.007774959,0.019680482,0.037463379,-0.005283167,0.327647373,0.231578465,0.197516765,0.081184346,0.249687704,0.295424758,0.685102932,,,,,,,,,,,,,,,,,,
DMR_up_1023,0.003748113,-0.016533745,-0.001583485,-0.019452227,-0.011715318,-0.002010848,0.043100019,-0.018290013,0.026485619,0.383185833,0.330662571,0.217601005,0.163277163,0.292019005,0.319047754,0.518382609,,,,,,,,,,,,,,,,,,
DMR_up_1024,-0.055254974,-0.017693721,0.003569475,0.008243347,-0.005862545,-0.003271496,0.021276601,-0.00551083,-0.000750834,0.451404579,0.30637666,0.234092095,0.205181554,0.226365776,0.292170377,0.5633441,,,,,,,,,,,,,,,,,,
DMR_up_1025,-0.008342455,0.006450668,0.010400385,-0.013859903,-0.005752578,-0.005664236,0.021260724,-0.009703937,-0.003131126,0.401067267,0.33884573,0.22058708,0.165658709,0.266058257,0.293449128,0.576127731,,,,,,,,,,,,,,,,,,
DMR_up_1026,-0.013849545,0.028266812,0.001208776,-0.002730849,0.001395241,-0.063765257,0.030550848,0.007610665,-0.002536238,0.41619682,0.357937169,0.280167726,0.223745066,0.275747812,0.326958107,0.47905528,,,,,,,,,,,,,,,,,,
DMR_up_1027,-0.005296817,-0.005061315,-0.002510104,0.019607204,-0.001338475,-0.025563567,0.006115101,0.03781728,-0.029066125,0.465650348,0.424004061,0.307048465,0.22885647,0.425867095,0.391709947,0.581205841,,,,,,,,,,,,,,,,,,
DMR_up_1028,0.004027488,0.025807561,-0.000355995,-0.027259572,-0.021422578,-0.025719243,0.041917925,-0.026095486,0.033127388,0.45704233,0.333100872,0.267260335,0.202076846,0.258313053,0.329552358,0.524307299,,,,,,,,,,,,,,,,,,
