"","C3","C4","C7.1","C7.2","C9.1","C9.2","C10","C11.1","C11.2","P2","P10","P4","P8","P7","P9","P11","Control","Mutant"
"DMR_up_ 1008",-0.00183357883714078,-0.0299697391563319,-0.012924024449394,-0.0209240632552136,-0.0106128877353849,-0.00147025291292742,0.0450166609081819,0.0134284035517002,0.0192894818865104,0.348395565614938,0.316169966992819,0.242290196335902,0.215389380459188,0.210890086931366,0.244227958791528,0.450819204598981,-3.08395284618099e-18,0.289740337103532
"DMR_up_ 1009",-0.0105818418468604,-0.0113578316622417,-0.0183529703604247,-0.0109417598955906,0.00402282790164776,0.0149478562214903,0.0170473505357102,0.0123721813777827,0.00284418772848652,0.483936178073437,0.372853763537757,0.409224211717252,0.27390277517794,0.364365703922945,0.364963755183314,0.623647150030794,-6.16790569236198e-18,0.413270505377634
"DMR_up_ 101",-0.0223918934385046,-0.00596954806348804,0.00768619634147266,-0.0144274664712383,-0.00354492009132681,-0.00438411070629377,0.02591683160472,0.00746566385871253,0.00964924696594649,0.393509892353708,0.332560044860234,0.327959036133736,0.23086527365868,0.296144159946937,0.316874711120229,0.493168533254426,1.2335811384724e-17,0.34158309304685
"DMR_up_ 1010",0.000776826680414067,0.00169287058060397,0.0235598088497986,-0.0102476199902665,0.0299880698059313,-0.0447741783174028,-0.00403703285981583,0.0243041344536102,-0.0212628792028728,0.422609999180741,0.259734663207388,0.295954702137195,0.209240835141983,0.245916438338895,0.22787460580464,0.43737946154273,9.25185853854297e-18,0.29981581505051
"DMR_up_ 1011",-0.0106405369763078,0.0138592041524504,0.00739230966295061,0.002472655892073,0.0213896983830986,-0.0301358526415638,-0.00673573465477306,-0.00597478673008943,0.00837304291216147,0.351665017584281,0.243358273221608,0.270713190473915,0.139456033687781,0.164358640379103,0.197005857241347,0.451289497825763,-4.62592926927149e-18,0.259692358630543
"DMR_up_ 1012",0.00417745063718453,0.00578624245050119,-0.00566302514159839,0.0105150870176787,-0.023411347651113,-0.0141555898352087,-0.00629251296841513,0.0241341978505929,0.00490949764037774,0.363326281380072,0.243341021124368,0.26621832497023,0.212386555063101,0.21170742158603,0.240693956266482,0.454905241732881,-1.2335811384724e-17,0.284654114589023
"DMR_up_ 1013",0.00344786201498078,0.019455052966219,-0.0168081797728582,-0.0125619094103987,-0.00603537259640589,-0.0171022143345017,0.0209485787495577,0.0139950068998569,-0.00533882451644997,0.355984723207019,0.272881719136477,0.295939048589708,0.171110196055484,0.231902761776219,0.249180598958008,0.475612324268977,-6.16790569236198e-18,0.293230195998842
"DMR_up_ 1014",-0.0304882760171133,-0.0252522682153349,0.018507359187049,-0.0233082977261382,0.000750614103090783,0.00221425829200753,0.0734912590162728,-0.0262315376444471,0.0103168890046134,0.443732148135812,0.287474414900684,0.296238980850879,0.129066363453021,0.193959775013825,0.163292953706846,0.51845311318423,6.16790569236198e-18,0.290316821320757
"DMR_up_ 1015",-0.000781473233544161,-0.0132010609080902,0.0315063899777892,-0.00893656330110471,-0.0433643118507279,-0.0327254896928805,0.0330793978305379,-0.0265516189667628,0.0609747301447834,0.357980293828842,0.247693781569861,0.297460839583395,0.181667919279255,0.220344207860689,0.248213953410245,0.503990506419283,2.46716227694479e-17,0.293907357421653
"DMR_up_ 1016",-0.00483332411510229,-0.0173897068898749,0.00460338104834429,-0.00379233135568902,-0.00752375676616734,-0.0154917880217664,0.0256111334147232,0.0133971812492859,0.00541921143624663,0.344227510401839,0.25152564251441,0.265644845504009,0.192492299273725,0.21975810999115,0.227832835392013,0.431021940944142,0,0.276071883431613
"DMR_up_ 1017",-0.00360809746604969,0.000857770705749494,-0.00156700489039241,0.0101981763337628,0.0411964174870921,-0.019831814718735,0.00278252254810267,-0.00444854052102765,-0.0255794294785024,0.389483734034009,0.259176763812825,0.284395561991837,0.180035049643252,0.254809459707384,0.232015234840648,0.398133142234539,0,0.285435563752071
"DMR_up_ 1018",-0.014095104696837,-0.0383071969101337,0.0088517224654503,-0.0254025009767058,-0.0053293726590391,0.0123486818598108,0.040689700131707,0.00379973349974747,0.0174443372860001,0.349895711738597,0.299424125104649,0.308787483486814,0.191472950079401,0.257863189297115,0.290529721059005,0.512257229596619,6.16790569236198e-18,0.315747201480315
"DMR_up_ 1019",0.0457050462031721,-0.0162213309382137,0.0166385097414627,-0.0302714684841507,-0.015428196231839,-0.0422480523402499,0.0378597850920681,0.00369165375139902,0.000274053206351432,0.370843668508692,0.36276138160575,0.362353509484869,0.304565326494085,0.351285624951879,0.349826402557368,0.490539075592728,1.2335811384724e-17,0.370310712742196
"DMR_up_ 102",-0.0410009004808559,0.0204825425750053,0.0109604209904136,-0.0108883557951666,-0.00143724608449333,-0.0195451553700429,0.0336885347083192,0.00131217289606655,0.00642798656075411,0.444611374642437,0.305223332149063,0.302690559201197,0.185388963985709,0.24932736993668,0.279286340356402,0.533916811860262,-7.70988211545248e-18,0.32863496459025
"DMR_up_ 1020",-0.0046480300479962,-0.00226504115505448,0.00996933701590269,-0.0095592975464539,-0.00104554077475821,-0.0122584195981185,0.00623255592312137,0.0189205768888231,-0.00534614070546574,0.333218336537604,0.277183684791695,0.267613490925213,0.131316001266365,0.247694063034415,0.244868067840781,0.471661808855389,4.62592926927149e-18,0.281936493321638
