"","States","total_count","filtered_count","total_percentage","filtered_percentage","table","fold_change"
"1","10_TssBiv",3295,230,0.401954266265729,1.27360318954538,"E029",3.16852760732588
"2","11_BivFlnk",15613,1785,1.90461667957719,9.88426823190653,"E029",5.1896364963583
"3","12_EnhBiv",27699,4341,3.37897760889057,24.037875851376,"E029",7.11394943492049
"4","13_ReprPC",68425,8465,8.34710794210395,46.8741347804419,"E029",5.61561382763512
"5","14_ReprPCWk",56367,145,6.87616270913516,0.802923749930782,"E029",0.116769160925188
"6","15_Quies",245450,53,29.9422381350298,0.293482474112631,"E029",0.00980162113430265
"7","1_TssA",81747,1726,9.97224746720017,9.55756132676228,"E029",0.958415979767667
"8","2_TssAFlnk",53852,987,6.56935998389743,5.46541890470126,"E029",0.831956068490369
"9","3_TxFlnk",913,33,0.111376098664829,0.182734370673902,"E029",1.64069645879603
"10","4_Tx",73903,23,9.01536453409292,0.127360318954538,"E029",0.0141270293034637
"11","5_TxWk",67150,49,8.19157176926971,0.271332853424885,"E029",0.0331234177112111
"12","6_EnhG",8338,23,1.01714557575831,0.127360318954538,"E029",0.125213462054914
"13","7_Enh",79532,168,9.70204148851167,0.93028406888532,"E029",0.0958853938098372
"14","8_ZNF/Rpts",3977,13,0.485150870087649,0.0719862672351736,"E029",0.148379136622322
"15","9_Het",33484,18,4.08468487151492,0.0996732930948558,"E029",0.0244017093680691
"16","10_TssBiv",4704,306,0.573850286559167,1.69369568827143,"E030",2.95145916616494
"17","11_BivFlnk",17152,2403,2.09240648704567,13.3004926108374,"E030",6.35655294187927
"18","12_EnhBiv",15208,2521,1.85525407270234,13.9536170919356,"E030",7.52113540524986
"19","13_ReprPC",75689,9627,9.23345117758861,53.2849947417944,"E030",5.77086440562198
"20","14_ReprPCWk",88736,146,10.8250805757046,0.808103171528201,"E030",0.0746510075261591
"21","15_Quies",269288,30,32.8509770337893,0.166048596889356,"E030",0.0050546014725396
"22","1_TssA",66102,1349,8.06391403956932,7.46665190679139,"E030",0.925933965832573
"23","2_TssAFlnk",82688,1369,10.0872730644142,7.57735097138429,"E030",0.751179324976896
"24","3_TxFlnk",1906,35,0.232516719001227,0.193723363037582,"E030",0.833158853564246
"25","4_Tx",63489,25,7.74514898880846,0.13837383074113,"E030",0.0178658707458148
"26","5_TxWk",63729,49,7.77442706465331,0.271212708252615,"E030",0.0348852341139957
"27","6_EnhG",6726,36,0.820518075552075,0.199258316267228,"E030",0.242844517633764
"28","7_Enh",46874,144,5.71825219646565,0.79703326506891,"E030",0.139384070111763
"29","8_ZNF/Rpts",2182,3,0.266186506222811,0.0166048596889356,"E030",0.0623805463490946
"30","9_Het",15253,24,1.86074371192325,0.132838877511485,"E030",0.0713902063246441
"31","10_TssBiv",3697,496,0.451022516966718,2.74579273693534,"E031",6.08792828216592
"32","11_BivFlnk",8816,1484,1.07552461714325,8.21523472099203,"E031",7.63835117304233
"33","12_EnhBiv",10993,1956,1.34111185529216,10.8281665190434,"E031",8.07402192167219
"34","13_ReprPC",33374,7325,4.07152433899033,40.5502657218778,"E031",9.95948012235967
"35","14_ReprPCWk",103857,1958,12.6702314159082,10.8392382639504,"E031",0.855488578554387
"36","15_Quies",263207,77,32.1104364682875,0.426262178919398,"E031",0.0132748796280106
"37","1_TssA",64150,1294,7.82610074747497,7.16341895482728,"E031",0.915324142375563
"38","2_TssAFlnk",97277,2851,11.8674918536574,15.7827723649247,"E031",1.32991642712278
"39","3_TxFlnk",1441,11,0.175797524195034,0.0608945969884854,"E031",0.346390526643182
"40","4_Tx",56618,14,6.90722014217518,0.0775022143489814,"E031",0.0112204639136599
"41","5_TxWk",102317,103,12.4823561992112,0.570194862710363,"E031",0.0456800666164612
"42","6_EnhG",7362,11,0.898141133326745,0.0608945969884854,"E031",0.0678006993877785
"43","7_Enh",58443,474,7.1298644736505,2.62400354295837,"E031",0.368029932778635
"44","8_ZNF/Rpts",2474,7,0.301820315654763,0.0387511071744907,"E031",0.128391314847129
"45","9_Het",5667,3,0.691356398066105,0.016607617360496,"E031",0.0240217887719729
"46","10_TssBiv",1834,160,0.223734933879861,0.88569056185995,"E032",3.9586601274146
"47","11_BivFlnk",12814,1759,1.56321670814424,9.73706061444783,"E032",6.22886165668423
"48","12_EnhBiv",31822,6340,3.88205728785439,35.0954885137005,"E032",9.04043549885318
"49","13_ReprPC",24080,5267,2.93758844483482,29.1558261832272,"E032",9.92508880353614
"50","14_ReprPCWk",87749,1123,10.704752842434,6.21644063105453,"E032",0.580717810355447
"51","15_Quies",276501,78,33.7311521007173,0.431774148906726,"E032",0.0128004566110727
"52","1_TssA",84467,1799,10.3043722246621,9.95848325491281,"E032",0.966432795496126
"53","2_TssAFlnk",57699,1068,7.03886693017128,5.91198450041517,"E032",0.83990570628266
"54","3_TxFlnk",1738,75,0.212023617820719,0.415167450871852,"E032",1.95811888854243
"55","4_Tx",66054,28,8.05811740594349,0.154995848325491,"E032",0.0192347468418827
"56","5_TxWk",76379,75,9.31769384667935,0.415167450871852,"E032",0.0445568890439354
"57","6_EnhG",14667,35,1.78926950666081,0.193744810406864,"E032",0.108281513592906
"58","7_Enh",74348,250,9.06992631630313,1.38389150290617,"E032",0.152580236558112
"59","8_ZNF/Rpts",2141,8,0.261186746693993,0.0442845280929975,"E032",0.169551206765025
"60","9_Het",7427,0,0.906041087200508,0,"E032",0
"61","10_TssBiv",17493,2524,2.13413071962405,13.977958686382,"E033",6.54972001379765
"62","11_BivFlnk",9823,2634,1.19839741947448,14.58714072105,"E033",12.1722063849627
"63","12_EnhBiv",4329,1048,0.528134218558995,5.80384338483691,"E033",10.9893341141057
"64","13_ReprPC",57537,7518,7.01946374063962,41.634823060309,"E033",5.93133957217581
"65","14_ReprPCWk",98844,353,12.0588816584073,1.95492052943457,"E033",0.162114579511743
"66","15_Quies",241664,77,29.4827969031742,0.426427424267597,"E033",0.0144636014577602
"67","1_TssA",111566,2681,13.6109545455655,14.8474275904082,"E033",1.09084396253792
"68","2_TssAFlnk",50917,906,6.21182952330061,5.01744475826549,"E033",0.807724155894012
"69","3_TxFlnk",1938,16,0.236434307130361,0.0886082959517085,"E033",0.374769199221386
"70","4_Tx",79468,33,9.69502658360966,0.182754610400399,"E033",0.0188503464971785
"71","5_TxWk",92044,123,11.2292875983008,0.681176275128759,"E033",0.0606606847643508
"72","6_EnhG",8299,15,1.01247075070942,0.0830702774547267,"E033",0.0820470886655446
"73","7_Enh",40427,123,4.93205868645981,0.681176275128759,"E033",0.138111956574812
"74","8_ZNF/Rpts",2033,6,0.248024224146555,0.0332281109818907,"E033",0.133971232431944
"75","9_Het",3296,0,0.402109120898694,0,"E033",0
"76","10_TssBiv",4003,261,0.488293996167325,1.44406329534137,"E034",2.95736442937245
"77","11_BivFlnk",25637,2576,3.12725285529396,14.2525174283501,"E034",4.55751999849414
"78","12_EnhBiv",43032,6918,5.24912996329561,38.2759765408875,"E034",7.29187061637473
"79","13_ReprPC",80984,4999,9.87859130292647,27.6585149939139,"E034",2.79984404109524
"80","14_ReprPCWk",183659,594,22.4030944396939,3.28648887905278,"E034",0.146697987989988
"81","15_Quies",137131,37,16.7275153605849,0.204713953745712,"E034",0.0122381566737688
"82","1_TssA",74040,1375,9.03154820790126,7.60761314595552,"E034",0.842337655829594
"83","2_TssAFlnk",64178,967,7.82856160030642,5.35022684519199,"E034",0.683423995154177
"84","3_TxFlnk",2385,45,0.29092709988985,0.248976430231271,"E034",0.855803499658636
"85","4_Tx",63198,38,7.70901922802464,0.210246763306407,"E034",0.0272728290185211
"86","5_TxWk",67510,63,8.23500566606448,0.34856700232378,"E034",0.0423274757126379
"87","6_EnhG",17587,48,2.14529765440788,0.265574858913356,"E034",0.123793944568805
"88","7_Enh",51400,145,6.269875444167,0.802257386300764,"E034",0.12795427811044
"89","8_ZNF/Rpts",1175,1,0.143328864725608,0.00553280956069492,"E034",0.0386022004101342
"90","9_Het",3874,7,0.472558316550641,0.0387296669248645,"E034",0.0819574337566737
"91","10_TssBiv",3361,309,0.409986045104564,1.71067928915463,"E035",4.17253052776059
"92","11_BivFlnk",11175,1972,1.36316395538337,10.9173448485855,"E035",8.00882740881684
"93","12_EnhBiv",12732,3551,1.5530920339992,19.6589713779549,"E035",12.6579564813897
"94","13_ReprPC",32566,5914,3.97250983185815,32.7409621878979,"E035",8.24188323596502
"95","14_ReprPCWk",76118,410,9.28512876562607,2.26983336101423,"E035",0.244459007334098
"96","15_Quies",252826,45,30.8405628799781,0.249128051818635,"E035",0.00807793465988813
"97","1_TssA",68436,1579,8.34805265777327,8.74162652936943,"E035",1.04714559044254
"98","2_TssAFlnk",102175,3506,12.4636489611898,19.4098433261363,"E035",1.55731627122812
"99","3_TxFlnk",470,7,0.0573321753047144,0.038753252505121,"E035",0.675942475567193
"100","4_Tx",46646,7,5.69003542396534,0.038753252505121,"E035",0.00681072253819365
"101","5_TxWk",123850,162,15.1076381095508,0.896860986547085,"E035",0.0593647385543412
"102","6_EnhG",4016,12,0.489885140476028,0.0664341471516359,"E035",0.135611680499394
"103","7_Enh",71333,558,8.70143842768339,3.08918784255107,"E035",0.355020364532248
"104","8_ZNF/Rpts",3635,13,0.443409483473696,0.0719703260809389,"E035",0.16231120163944
"105","9_Het",10445,18,1.27411610863349,0.0996512207274539,"E035",0.078212040529282
"106","10_TssBiv",2113,157,0.257752394242839,0.868987657054298,"E036",3.37140479182355
"107","11_BivFlnk",16607,2680,2.02578987751577,14.8336746554492,"E036",7.32241523175134
"108","12_EnhBiv",17580,3551,2.1444804026451,19.6546189184701,"E036",9.16521265208449
"109","13_ReprPC",38575,6593,4.70553649215215,36.4919466430509,"E036",7.75510862659588
"110","14_ReprPCWk",105893,355,12.9172618474003,1.96490839652405,"E036",0.152114931146921
"111","15_Quies",205566,32,25.0757826194621,0.177118503348647,"E036",0.0070633290309025
"112","1_TssA",79987,1521,9.75714186384379,8.41866386229036,"E036",0.862820688657473
"113","2_TssAFlnk",82680,2271,10.0856450336005,12.5698787845243,"E036",1.24631381955715
"114","3_TxFlnk",5162,244,0.629681902073608,1.35052858803343,"E036",2.14477910765102
"115","4_Tx",81666,108,9.96195316054693,0.597774948801683,"E036",0.0600057979763543
"116","5_TxWk",80949,84,9.87449056392028,0.464936071290198,"E036",0.0470845628218022
"117","6_EnhG",14599,60,1.78084581332286,0.332097193778713,"E036",0.186482845002205
"118","7_Enh",69456,290,8.47252735188386,1.60513643659711,"E036",0.18945190377464
"119","8_ZNF/Rpts",5517,55,0.672986256051936,0.304422427630486,"E036",0.452345682980773
"120","9_Het",13429,66,1.63812442133795,0.365306913156584,"E036",0.223003154338068
"121","10_TssBiv",1263,220,0.154089408457715,1.21802679658952,"E037",7.90467566058425
"122","11_BivFlnk",2898,806,0.353563820831717,4.4624072638689,"E037",12.6212214060014
"123","12_EnhBiv",9776,3196,1.19269838248822,17.6946074631824,"E037",14.8357771947906
"124","13_ReprPC",9338,3411,1.13926120045775,18.8849518325767,"E037",16.5764899436483
"125","14_ReprPCWk",65835,5042,8.03204766889444,27.9149595836563,"E037",3.47544744931757
"126","15_Quies",386957,670,47.209798280738,3.70944524415901,"E037",0.0785736304590925
"127","1_TssA",109427,2653,13.3503893106116,14.6882958697819,"E037",1.1002147973398
"128","2_TssAFlnk",42432,907,5.17681851122547,5.02159229321227,"E037",0.970015132329517
"129","3_TxFlnk",777,13,0.0947960968896632,0.0719743107075628,"E037",0.759253946830074
"130","4_Tx",20727,1,2.52874993594858,0.0055364854390433,"E037",0.00218941594830588
"131","5_TxWk",92181,250,11.2463307688366,1.38412135976082,"E037",0.123073150542237
"132","6_EnhG",4887,7,0.596227188545411,0.0387553980733031,"E037",0.0650010580159099
"133","7_Enh",70096,886,8.55190116805384,4.90532609899236,"E037",0.573594806885341
"134","8_ZNF/Rpts",718,0,0.0875979376663812,0,"E037",0
"135","9_Het",2342,0,0.285730320354686,0,"E037",0
"136","10_TssBiv",2154,338,0.262801507997511,1.87195392113425,"E038",7.12307145951376
"137","11_BivFlnk",3587,979,0.437636494515818,5.42202038103677,"E038",12.3893241285452
"138","12_EnhBiv",9060,3066,1.10537681636836,16.9805050952592,"E038",15.3617344274032
