dmr,k546_2_bm_w_4d,k546_4_bm_w_4d,k602_1_bm_w_4d,k520_bm_w_23d,k528_bm_w_23d,k529_bm_w_23d,k534_bm_w_3m,k535_bm_w_3m,k536_bm_w_3m,k458_bm_w_1y,k462_bm_w_1y,k464_bm_w_1y,k546_1_bm_m_4d,k546_3_bm_m_4d,k602_2_bm_m_4d,k518_bm_m_23d,k519_bm_m_23d,k526_bm_m_23d,k541_bm_m_3m,k542_bm_m_3m,k543_bm_m_3m,k460_bm_m_1y,k461_bm_m_1y,k463_bm_m_1y,c.4d,c.23d,c.3m,c.1yr,m.4d,m.23d,m.3m,m.1yr
bm_all_dmr_108,0.130249928965807,0.120978853134918,0.113000606715503,0.152135416976726,0.154807307101182,0.152740776749349,0.193283405643553,0.200438806559415,0.209304982209109,0.209349919435953,0.211518391112054,0.210383354192084,0.497012927037272,0.487879095622179,0.480348091682832,0.579085849154928,0.59996234932256,0.594788683726277,0.65669111981674,0.662592102517062,0.653304135653444,0.666970857533309,0.676894479056859,0.681514656522608,0.121409796272076,0.153227833609086,0.201009064804026,0.21041722158003,0.488413371447428,0.591278960734588,0.657529119329082,0.675126664370925
bm_all_dmr_109,0.134120150152,0.132267506593784,0.118499094384713,0.161145983526242,0.183686403918316,0.1767826630625,0.216835128564769,0.205211237477671,0.216499263756913,0.227244918307722,0.236198542079475,0.239907079252415,0.40234014939815,0.398586172995071,0.399604336534048,0.52040667452369,0.548152230911624,0.545850800892448,0.579244034547364,0.562683664438249,0.563746342685865,0.615794727805483,0.637040450463842,0.633808455563571,0.128295583710166,0.173871683502353,0.212848543266451,0.234450179879871,0.40017688630909,0.538136568775921,0.568558013890493,0.628881211277632
bm_all_dmr_11,0.154758201265355,0.14890964071121,0.134003197490669,0.148894466310803,0.169723970110064,0.173832594921039,0.22171548107307,0.209327480160008,0.225080338348632,0.212286263005566,0.195131704193949,0.210971933288603,0.412293466606225,0.425936023045196,0.429751287468976,0.4941922120868,0.520084907615326,0.526761780778014,0.59626712738854,0.586544901698304,0.586144704482018,0.60404556773296,0.588844488756765,0.588527976041714,0.145890346489078,0.164150343780635,0.218707766527237,0.206129966829373,0.422660259040132,0.51367963349338,0.589652244522954,0.593806010843813
bm_all_dmr_110,0.139761909787379,0.158799568997869,0.142446106543795,0.184300494815098,0.203391980844939,0.186069093470916,0.221050850996548,0.218569949393675,0.235213479086935,0.242641243026188,0.24507350946599,0.235676877560249,0.546820527213828,0.540747252815714,0.545664816717178,0.631400110689522,0.657968146466109,0.69352841262143,0.716084188492607,0.752382073433104,0.736046802366089,0.756690081921223,0.79123546661491,0.764089973785324,0.147002528443014,0.191253856376984,0.224944759825719,0.241130543350809,0.54441086558224,0.660965556592354,0.734837688097267,0.770671840773819
bm_all_dmr_111,0.0517417706238973,0.0473055584105018,0.0441045577161512,0.070514349294002,0.0782782035523998,0.0699160702868346,0.0719635565507306,0.0809937791185409,0.0847265189199,0.093022613666443,0.0877561322124759,0.088571834344942,0.327811771561336,0.298288161159891,0.293639596280125,0.451851135606324,0.457007005245841,0.470995546840673,0.477118155601389,0.474316906519932,0.484448184605694,0.548888587192005,0.558062706165424,0.527466767762508,0.0477172955835168,0.0729028743777455,0.0792279515297238,0.089783526741287,0.306579843000451,0.459951229230946,0.478627748909005,0.544806020373312
bm_all_dmr_112,0.0891325490015497,0.0913487932718737,0.100774225634636,0.113868518469697,0.148086197225609,0.110465821247348,0.139047390546808,0.141799954855749,0.131375575053445,0.155361230671305,0.138276464667898,0.156580231251262,0.29037984059907,0.280450454835959,0.297305481670058,0.373796107665243,0.387528564381886,0.417520970389948,0.399778354922966,0.380230659534215,0.402492268284256,0.406384400030254,0.417491700318541,0.417756968779847,0.0937518559693531,0.124140178980885,0.137407640152001,0.150072642196822,0.289378592368362,0.392948547479026,0.394167094247146,0.413877689709547
bm_all_dmr_113,0.0586880644837279,0.0518304198828827,0.0443178434879996,0.0882049849767281,0.0728789041919176,0.0790503531047567,0.0714969485783944,0.0765547350202726,0.0905656857823506,0.0967530441312384,0.0970441325948458,0.0961952553636906,0.26517350869252,0.274264948066126,0.245549374854842,0.365519070797303,0.369760837637312,0.376915833077172,0.399047021034601,0.381382365794785,0.383803679322816,0.423073643238389,0.439012729147904,0.396090154793567,0.0516121092848701,0.0800447474244675,0.0795391231270059,0.0966641440299249,0.261662610537829,0.370731913837262,0.388077688717401,0.41939217572662
bm_all_dmr_114,0.124812741594773,0.109058900679977,0.124437960568132,0.0985869314433716,0.108698558744805,0.101522995628935,0.122937002674817,0.110467634023909,0.103542374053115,0.132180681370364,0.138369383601714,0.124810323898997,0.231752404680456,0.227467573976375,0.228974329643964,0.34094496001044,0.376704508269804,0.304482235960599,0.361677691074325,0.380426096078313,0.41368727395816,0.42668440157684,0.445023719136512,0.414479226640635,0.119436534280961,0.102936161939037,0.112315670250614,0.131786796290358,0.229398102766932,0.340710568080281,0.385263687036933,0.428729115784662
bm_all_dmr_115,0.191521019419684,0.184643175675651,0.178595099272208,0.17697023017382,0.162778994942304,0.182700887254202,0.185863363587763,0.200144175998953,0.191598607196246,0.187726342594598,0.213571806138813,0.200446618670066,0.392824104275156,0.406532881452579,0.370884200517163,0.429526632789592,0.462286953435244,0.465501518018339,0.510216170637505,0.471365535101495,0.50746573751295,0.516673844399885,0.525299009563874,0.556740968871319,0.184919764789181,0.174150037456775,0.192535382260987,0.200581589134492,0.390080395414966,0.452438368081058,0.49634914775065,0.532904607611693
bm_all_dmr_116,0.0936862737040806,0.0987685664847915,0.086912210101607,0.114800374088458,0.100373587664415,0.10458207255495,0.152469679673877,0.125138172411074,0.14198481809641,0.145554382579924,0.147315176878591,0.125703872808625,0.346454864023223,0.354823887353053,0.331881051320411,0.500217338679884,0.49926193879236,0.536678012900085,0.570737259643265,0.590502404114426,0.558374449711043,0.581958621394451,0.631665636155213,0.569207070738559,0.0931223500968264,0.106585344769274,0.139864223393787,0.13952447742238,0.344386600898896,0.51205243012411,0.573204704489578,0.594277109429408
