Feature,Count,cumCount,perc
Promoter (2-3kb),641937,641937,3.473297138
Promoter (1-2kb),788767,1430704,4.26774304
Promoter (<=1kb),1981800,3412504,10.72282836
5' UTR,10226,3422730,0.055329318
Exon,733637,4156367,3.969453845
Intron,6656654,10813021,36.01683232
3' UTR,299992,11113013,1.623152046
Downstream (<=300bp),17166,11130179,0.092879237
Distal Intergenic,7351885,18482064,39.7784847
