counts.all	counts.up	per.all	per.up	pval.up	padj.up	per.change.up	per.fc.up	description
GO:0007166	2518	309	0.141579983131853	0.215932914046122	4.08121124174754e-13	1.58120774007193e-11	0.0743529309142689	1.52516555850289	cell surface receptor signaling pathway
GO:0008283	1724	228	0.0969356199044138	0.159329140461216	1.7638984511848e-12	6.39660134337655e-11	0.0623935205568021	1.64365937534961	cell population proliferation
GO:0040007	928	143	0.0521788023615406	0.0999301187980433	4.81369919124251e-12	1.66146492743211e-10	0.0477513164365027	1.91514780476638	growth
GO:0141187	3926	432	0.220747821197638	0.30188679245283	7.69782894249106e-12	2.56575430855235e-10	0.0811389712551917	1.36756408654447	nucleic acid biosynthetic process
GO:0015318	619	108	0.0363007271874267	0.076056338028169	2.10312323030654e-11	5.55709868930996e-10	0.0397556108407423	2.09517395162575	inorganic molecular entity transmembrane transporter activity
GO:0048870	1633	214	0.0918189485521507	0.149545772187282	2.00769288564533e-11	6.45451904300019e-10	0.0577268236351309	1.62870273015971	cell motility
GO:0007416	164	46	0.00922125386561709	0.0321453529000699	2.27345051453826e-11	7.20667914853282e-10	0.0229240990344528	3.48600671541307	synapse assembly
GO:0050905	171	47	0.00961484396963734	0.0328441649196366	2.4823585631837e-11	7.81425789368868e-10	0.0232293209499993	3.41598522278209	neuromuscular process
GO:0070848	661	109	0.0371661512510543	0.0761705101327743	6.04540348705495e-11	1.7794684420013e-09	0.03900435888172	2.04945918715793	response to growth factor
GO:0071363	603	102	0.033904976103458	0.0712788259958071	6.56534379019838e-11	1.92004538070769e-09	0.0373738498923492	2.10231164234731	cellular response to growth factor stimulus
GO:0050807	247	57	0.0138881079561428	0.039832285115304	7.33523454592815e-11	2.09123384884857e-09	0.0259441771591612	2.86808579261409	regulation of synapse organization
GO:0009719	1373	181	0.0771998875456846	0.126484975541579	6.2998440442793e-10	1.50301016066937e-08	0.0492850879958947	1.63840880554041	response to endogenous stimulus
GO:0006811	1101	153	0.0619061006466123	0.106918238993711	6.94933723896271e-10	1.64928511540408e-08	0.0450121383470984	1.7271034336995	monoatomic ion transport
GO:0060560	233	52	0.0131009277481023	0.0363382250174703	1.57988352730924e-09	3.527887699159e-08	0.023237297269368	2.77371387096871	developmental growth involved in morphogenesis
GO:0009914	324	64	0.0182175991003655	0.0447239692522711	1.71377343119804e-09	3.80810537432388e-08	0.0265063701519057	2.45498701590013	hormone transport
GO:0048638	301	60	0.0169243744728704	0.0419287211740042	3.48987572415661e-09	7.53314602742949e-08	0.0250043467011338	2.47741629926799	regulation of developmental growth
GO:0050767	338	65	0.019004779308406	0.0454227812718379	3.63307756176322e-09	7.80509032581644e-08	0.0264180019634319	2.39007149384508	regulation of neurogenesis
GO:0007611	201	46	0.0113016587011527	0.0321453529000699	6.17764718095168e-09	1.28455388400247e-07	0.0208436941989172	2.84430398670519	learning or memory
GO:0030534	139	37	0.00781557492268766	0.0258560447239693	6.64466570056781e-09	1.37535477719972e-07	0.0180404698012816	3.30827162169635	adult behavior
GO:0034329	405	72	0.0227719988754568	0.050314465408805	8.41497877312408e-09	1.70290619547194e-07	0.0275424665333482	2.20948831431012	cell junction assembly
GO:0098655	717	107	0.0403148720832162	0.0747728860936408	1.29290465575785e-08	2.54814643676101e-07	0.0344580140104246	1.85472214668815	monoatomic cation transmembrane transport
GO:0003143	61	22	0.00342985662074782	0.0153738644304682	1.08670888061321e-07	1.89463513685372e-06	0.0119440078097204	4.482363588457	embryonic heart tube morphogenesis
GO:0051402	257	50	0.0144503795333146	0.0349406009783368	1.39381955091005e-07	2.34876729526962e-06	0.0204902214450222	2.41797116108841	neuron apoptotic process
GO:0035050	70	23	0.00393590104020242	0.0160726764500349	2.22988248835819e-07	3.59717342339063e-06	0.0121367754098325	4.08360786662673	embryonic heart tube development
GO:0008015	457	73	0.0256958110767501	0.0510132774283718	3.34557843068273e-07	5.22948518147752e-06	0.0253174663516217	1.98527601545644	blood circulation
GO:0043523	231	46	0.012988473432668	0.0321453529000699	3.39612071765272e-07	5.27212849764375e-06	0.0191568794674019	2.47491385856166	regulation of neuron apoptotic process
GO:0099565	105	28	0.00590385156030363	0.0195667365478686	4.31218394133417e-07	6.55393937866838e-06	0.013662884987565	3.31423247146518	chemical synaptic transmission, postsynaptic
GO:0002790	264	49	0.0148439696373348	0.0342417889587701	6.44471349743572e-07	9.3335099948486e-06	0.0193978193214353	2.30678112360502	peptide secretion
GO:0141091	344	59	0.019342142254709	0.0412299091544375	6.4376990699673e-07	9.3335099948486e-06	0.0218877668997284	2.13161027416183	transforming growth factor beta receptor superfamily signaling pathway
GO:0008066	24	13	0.00140745953553835	0.00915492957746479	1.91842972875791e-06	3.37938775296585e-05	0.00774747004192644	6.50457746478873	glutamate receptor activity
GO:0060581	14	10	0.000787180208040484	0.00698812019566737	3.78373310258467e-06	4.742853485208e-05	0.00620093998762688	8.87740840571029	cell fate commitment involved in pattern specification
GO:0006936	253	45	0.0142254709024459	0.0314465408805031	5.71748709878915e-06	6.94835630531132e-05	0.0172210699780573	2.21057995873418	muscle contraction
GO:1901888	205	39	0.0115265673320214	0.0272536687631027	5.94818642075838e-06	7.19016774541273e-05	0.0157271014310814	2.36442194610625	regulation of cell junction assembly
GO:0051703	58	18	0.00326117514759629	0.0125786163522013	8.70820142048129e-06	0.000100957230278879	0.00931744120460497	3.85708089351551	biological process involved in intraspecies interaction between organisms
GO:0042886	328	53	0.0184425077312342	0.037037037037037	1.08512626692318e-05	0.000124214074948555	0.0185945293058029	2.00824299909666	amide transport
GO:0007548	219	40	0.0123137475400618	0.0279524807826695	1.15153270627485e-05	0.000131483570718989	0.0156387332426076	2.27002224072957	sex differentiation
GO:0016049	437	65	0.0245712679224065	0.0454227812718379	1.338007654313e-05	0.000150875340721414	0.0208515133494314	1.84861364970169	cell growth
GO:0004970	16	10	0.000938306357025569	0.00704225352112676	1.181893286789e-05	0.000193323973339059	0.00610394716410119	7.50528169014085	glutamate-gated receptor activity
GO:0033555	101	23	0.00567894292943492	0.0160726764500349	3.9463404358282e-05	0.000404723103973059	0.0103937335206	2.83022327389972	multicellular organismal response to stress
GO:0008227	45	15	0.00263898662913441	0.0105633802816901	3.51026948122182e-05	0.000503866933203694	0.00792439365255573	4.00281690140845	G protein-coupled amine receptor activity
GO:0071855	34	13	0.00199390100867933	0.00915492957746479	3.66715380788715e-05	0.000503866933203694	0.00716102856878545	4.59146644573322	neuropeptide receptor binding
GO:0098960	57	17	0.00334271639690359	0.0119718309859155	3.53237181665648e-05	0.000503866933203694	0.0086291145890119	3.58146775389177	postsynaptic neurotransmitter receptor activity
GO:0060920	12	8	0.000674725892606129	0.00559049615653389	5.18732314938734e-05	0.000524869103486	0.00491577026392776	8.28558117866294	cardiac pacemaker cell differentiation
GO:0021532	43	14	0.00241776778183863	0.00978336827393431	5.55828734573864e-05	0.000558663337876568	0.00736560049209568	4.04644662213772	neural tube patterning
GO:0030307	70	18	0.00393590104020242	0.0125786163522013	7.14851658556407e-05	0.00070139016628489	0.00864271531199884	3.19586702605571	positive regulation of cell growth
GO:0007269	115	24	0.0064661231374754	0.0167714884696017	0.000109812109104354	0.00104575271128159	0.0103053653321263	2.59374715158144	neurotransmitter secretion
GO:0009581	125	25	0.00702839471464717	0.0174703004891684	0.000124689891678565	0.00116070837960614	0.0104419057745212	2.48567435359888	detection of external stimulus
GO:0043169	4225	419	0.247771522402064	0.295070422535211	0.000101653769495965	0.00126974799352233	0.047298900133147	1.19089724143679	cation binding
GO:0060074	30	11	0.00168681473151532	0.0076869322152341	0.000147387114807056	0.00135244087332062	0.00600011748371878	4.55706964826462	synapse maturation
GO:1902742	30	11	0.00168681473151532	0.0076869322152341	0.000147387114807056	0.00135244087332062	0.00600011748371878	4.55706964826462	apoptotic process involved in development
GO:0048018	467	66	0.0273868167956838	0.0464788732394366	0.000130811226820919	0.00157661952326265	0.0190920564437528	1.69712579545797	receptor ligand activity
GO:0001825	31	11	0.0017430418892325	0.0076869322152341	0.000186370839574259	0.00164682069354798	0.0059438903260016	4.4100674015464	blastocyst formation
GO:0071695	254	40	0.0142816980601631	0.0279524807826695	0.000192038118841409	0.00168376942496732	0.0136707827225064	1.95722390047156	anatomical structure maturation
