"X","States","total_count","dmr_count","total_percentage","dmr_percentage","table","fold_change","state"
199,"Enh",77850,162,5.71264e-05,2.59366e-05,"stomach",0.454021356,"Enh"
200,"EnhG",20686,59,1.51794e-05,9.44605e-06,"stomach",0.622293658,"Enh"
201,"EnhLo",151984,26,0.000111526,4.16266e-06,"stomach",0.037324617,"EnhLo"
202,"EnhPois",215052,187,0.000157805,2.99392e-05,"stomach",0.189722135,"EnhPois"
203,"EnhPr",80460,973,5.90416e-05,0.00015578,"stomach",2.63847325,"Enh"
204,"Het",184694,246,0.000135529,3.93852e-05,"stomach",0.290604412,"Het"
205,"Quies",7478915,312,0.005488033,4.9952e-05,"stomach",0.00910198,"Quies"
206,"Quies2",1393537,269,0.001022578,4.30676e-05,"stomach",0.042116634,"Quies"
207,"Quies3",536610,171,0.000393765,2.73775e-05,"stomach",0.069527599,"Quies"
208,"Quies4",311095,907,0.000228282,0.000145213,"stomach",0.636112807,"Quies"
209,"QuiesG",1878935,166,0.001378764,2.6577e-05,"stomach",0.019275969,"QuiesG"
210,"ReprPC",54440,24734,3.99481e-05,0.003959974,"stomach",99.12794965,"PC"
211,"ReprPCWk",270732,207,0.000198663,3.31412e-05,"stomach",0.166820968,"Het"
212,"Tss",119065,4817,8.737e-05,0.000771214,"stomach",8.826985506,"Tss"
213,"TssBiv",26813,27256,1.96754e-05,0.004363753,"stomach",221.7872601,"TssBiv"
214,"TssFlnk",82711,1956,6.06934e-05,0.00031316,"stomach",5.159712012,"TssFlnk"
215,"Tx",80315,0,5.89352e-05,0,"stomach",0,"Tx"
216,"TxWk",663784,12,0.000487085,1.92123e-06,"stomach",0.00394434,"Tx"
